run_kind,planner_mode,task_suite,host_label,ctx_size,model,config,repeats,wall_mean_sec,wall_std_sec,wall_ci95_sec,wall_min_sec,wall_max_sec,vs_q4_wall_pct,speedup_vs_q4_pct,quality_mean,quality_std,quality_ci95,quality_delta_vs_q4,tok_s_mean,rss_max_mean_mb,cpu_max_mean_pct,json_valid_mean,plan_valid_mean,server_failures
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,tbq4/tbq4,1,59.66387462498096,0.0,0.0,59.66387462498096,59.66387462498096,-8.895894547520033,9.76453750721491,0.6599999999999999,0.0,0.0,-0.10000000000000009,8.866336679021352,6410.15625,232.8,1.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,f16/f16,1,118.4020584570244,0.0,0.0,118.4020584570244,118.4020584570244,-7.893210952259477,8.569629919645006,0.8266666666666668,0.0,0.0,2.220446049250313e-16,4.847888689438123,7860.55859375,586.0,1.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,q4_0/q4_0,1,128.54867668403313,0.0,0.0,128.54867668403313,128.54867668403313,0.0,0.0,0.8266666666666665,0.0,0.0,0.0,4.480792917190288,7416.70703125,590.0,1.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,q8_0/q8_0,1,118.52863736823201,0.0,0.0,118.52863736823201,118.52863736823201,-7.794743263230874,8.453686415605999,0.76,0.0,0.0,-0.06666666666666654,4.775217302478659,7595.00390625,591.0,1.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,q8_0/tbq4,1,120.58583864406683,0.0,0.0,120.58583864406683,120.58583864406683,-6.194414633717782,6.603460347835877,0.7866666666666667,0.0,0.0,-0.039999999999999813,4.984001494354337,7503.50390625,592.0,0.8,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,tbq4/tbq4,1,118.2051744449418,0.0,0.0,118.2051744449418,118.2051744449418,-8.046370064559428,8.750464848651074,0.8133333333333332,0.0,0.0,-0.013333333333333308,4.915182459043881,7429.796875,591.0,1.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,f16/f16,1,116.40697352029383,0.0,0.0,116.40697352029383,116.40697352029383,-7.275728401152703,7.846627722922062,0.36,0.0,0.0,0.0,3.3760863985651706,5648.67578125,595.0,0.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,q4_0/q4_0,1,125.54099537595175,0.0,0.0,125.54099537595175,125.54099537595175,0.0,0.0,0.36,0.0,0.0,0.0,3.4570380671295498,5508.1015625,591.0,0.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,q8_0/q8_0,1,113.96371414791793,0.0,0.0,113.96371414791793,113.96371414791793,-9.221912884603057,10.158743346155962,0.36,0.0,0.0,0.0,3.3168452153935517,5555.40625,591.0,0.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,q8_0/tbq4,1,103.79099944001064,0.0,0.0,103.79099944001064,103.79099944001064,-17.32501472591277,20.955570380177548,0.36,0.0,0.0,0.0,2.8615198003913696,5527.45703125,596.0,0.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,tbq4/tbq4,1,148.88952637976035,0.0,0.0,148.88952637976035,148.88952637976035,18.59833191053477,-15.681782037680348,0.36,0.0,0.0,0.0,4.338787392958055,5508.03515625,593.0,0.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,f16/f16,1,155.29803006793372,0.0,0.0,155.29803006793372,155.29803006793372,-11.232765158311853,12.654179414673571,0.7466666666666666,0.0,0.0,-0.10666666666666669,3.741193624580085,8041.8046875,591.0,1.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,q4_0/q4_0,1,174.94972142018378,0.0,0.0,174.94972142018378,174.94972142018378,0.0,0.0,0.8533333333333333,0.0,0.0,0.0,3.509579752489754,7475.80859375,595.0,1.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,q8_0/q8_0,1,156.33892523380928,0.0,0.0,156.33892523380928,156.33892523380928,-10.637796982640635,11.904134660348674,0.7733333333333332,0.0,0.0,-0.08000000000000007,3.684303183858887,7667.21484375,591.0,1.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,q8_0/tbq4,1,149.3310392878484,0.0,0.0,149.3310392878484,149.3310392878484,-14.643454087478059,17.15563104262148,0.8266666666666665,0.0,0.0,-0.026666666666666727,3.6630026992955598,7575.8984375,591.0,1.0,1.0,0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,tbq4/tbq4,1,150.4870967620518,0.0,0.0,150.4870967620518,150.4870967620518,-13.982659966276312,16.255629342635224,0.7866666666666665,0.0,0.0,-0.06666666666666676,3.681378748876905,7469.640625,595.0,1.0,1.0,0
