run_kind,planner_mode,task_suite,host_label,ctx_size,model,config,task_rows,planner_sec_mean,deterministic_tool_sec_mean,llm_tool_sec_mean,final_sec_mean,prompt_eval_ms_mean,decode_ms_mean,wall_sec_mean
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,q4_0/q4_0,5,0.0,1.3707205653190613e-05,19.654494767170398,15.33514406112954,22027.2142,12942.3544,34.98994428403675
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,q8_0/q8_0,5,0.0,1.3792421668767929e-05,17.620017152512446,13.647465186193585,19462.534200000002,11772.359,31.267785046761855
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,q8_0/tbq4,5,0.0,1.6542989760637285e-05,17.164565491396935,12.701299005979672,18825.556399999998,11014.112,29.86620785756968
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,tbq4/tbq4,5,0.0,1.3969885185360908e-05,16.620161295169964,13.476955500012263,18978.904599999998,11098.5708,30.097419352410363
ctx_sweep,fixed,core,x86_axelera_ctx,4096,qwen35_4b,f16/f16,5,0.0,1.56584195792675e-05,16.92811269504018,8.807589954230934,19669.0184,5977.3072,25.736042190808803
ctx_sweep,fixed,core,x86_axelera_ctx,4096,qwen35_4b,q4_0/q4_0,5,0.0,1.5481607988476753e-05,17.04605627260171,13.846419511176645,20421.004,10389.596,30.89282540101558
ctx_sweep,fixed,core,x86_axelera_ctx,4096,qwen35_4b,q8_0/q8_0,5,0.0,1.3337424024939538e-05,16.205578153580426,15.956876170961186,19945.7574,12131.5708,32.1627702026628
ctx_sweep,fixed,core,x86_axelera_ctx,4096,qwen35_4b,q8_0/tbq4,5,0.0,1.329849474132061e-05,17.12362831667997,11.357162794237956,19438.8328,8959.2324,28.48109954064712
ctx_sweep,fixed,core,x86_axelera_ctx,4096,qwen35_4b,tbq4/tbq4,5,0.0,1.6083195805549622e-05,16.22663261597045,14.80138740921393,19691.9532,11255.0114,31.02832733420655
ctx_sweep,fixed,core,x86_axelera_ctx,8192,gemma4_e4b,f16/f16,5,0.0,1.6219262033700942e-05,32.22426042598672,13.466677397163584,33935.3356,11687.8256,45.691265812702476
ctx_sweep,fixed,core,x86_axelera_ctx,8192,gemma4_e4b,q4_0/q4_0,5,0.0,1.8192967399954795e-05,37.6551692456007,14.476540800416842,40094.4082,12011.7048,52.13206963851117
ctx_sweep,fixed,core,x86_axelera_ctx,8192,gemma4_e4b,q8_0/q8_0,5,0.0,1.4346744865179063e-05,33.26860153949819,13.586136846989394,35127.1776,11686.467200000001,46.85505681317299
ctx_sweep,fixed,core,x86_axelera_ctx,8192,gemma4_e4b,q8_0/tbq4,5,0.0,1.6260985285043715e-05,31.50264696981758,13.27886760737747,33386.0676,11363.7168,44.78184805638157
ctx_sweep,fixed,core,x86_axelera_ctx,8192,gemma4_e4b,tbq4/tbq4,5,0.0,1.6554025933146477e-05,31.550005342438816,13.00282561359927,33377.6604,11150.0462,44.553172413352875
ctx_sweep,fixed,core,x86_axelera_ctx,8192,qwen35_4b,f16/f16,5,0.0,1.6677472740411758e-05,31.177740933559836,11.465963392378763,33560.1944,8984.8832,42.64400939298794
ctx_sweep,fixed,core,x86_axelera_ctx,8192,qwen35_4b,q4_0/q4_0,5,0.0,1.588691957294941e-05,34.24011380653828,17.242546936636792,36800.0502,14597.02,51.48300059367902
ctx_sweep,fixed,core,x86_axelera_ctx,8192,qwen35_4b,q8_0/q8_0,5,0.0,1.3412395492196084e-05,30.916105823777617,12.195243949536234,34089.8664,8931.9444,43.11166691696271
ctx_sweep,fixed,core,x86_axelera_ctx,8192,qwen35_4b,q8_0/tbq4,5,0.0,1.659393310546875e-05,30.479549032030626,9.209459055168555,33720.833,5881.8548,39.68934919559397
ctx_sweep,fixed,core,x86_axelera_ctx,8192,qwen35_4b,tbq4/tbq4,5,0.0,1.4132913202047348e-05,32.443393239052966,8.974291817517951,33724.1974,7610.1274,41.41801565634087
repeat_core8k,llm,core,m4_paper,8192,gemma4_e4b,f16/f16,25,3.994113144958392,0.0026921582373324784,3.2221357349591564,3.908441036558943,6058.33372,5043.65052,11.127931576599948
repeat_core8k,llm,core,m4_paper,8192,gemma4_e4b,q4_0/q4_0,25,3.3509303466812708,1.891512016300112e-05,2.6941566900821634,3.295770679921843,5346.64676,3985.85656,9.34133049495984
repeat_core8k,llm,core,m4_paper,8192,gemma4_e4b,q8_0/q8_0,25,3.4018138549569996,0.002428476763307117,2.670365890079411,3.4215468082804,5269.73048,4211.37164,9.496620123281026
repeat_core8k,llm,core,m4_paper,8192,gemma4_e4b,q8_0/tbq4,25,3.9700819383200723,3.281179757323116e-05,3.0727064983191665,3.543583776639425,5856.54504,4719.71108,10.586924378359107
repeat_core8k,llm,core,m4_paper,8192,gemma4_e4b,tbq4/tbq4,25,3.1956231916404794,0.0025661536387633532,2.532400948358118,2.882672958399053,4841.4226,3760.82096,8.613718671521637
repeat_core8k,llm,core,m4_paper,8192,qwen35_4b,f16/f16,25,3.9253535349998856,1.5813318314030766e-05,3.1552646849595476,3.454059670117567,5889.51556,4609.31628,10.535163876721054
repeat_core8k,llm,core,m4_paper,8192,qwen35_4b,q4_0/q4_0,25,4.0549297200399455,6.325495894998312e-05,3.2077184781973482,3.6752836431981994,6085.62484,4821.74128,10.938503471721196
repeat_core8k,llm,core,m4_paper,8192,qwen35_4b,q8_0/q8_0,25,4.104592221720377,1.8519959994591772e-05,3.2575504983216526,3.526817624960677,6143.10988,4714.51368,10.889431436560699
repeat_core8k,llm,core,m4_paper,8192,qwen35_4b,q8_0/tbq4,25,4.889381698240759,1.9949842826463282e-05,3.8912968900008127,4.781275288319448,7114.66004,6407.11608,13.562496831680765
repeat_core8k,llm,core,m4_paper,8192,qwen35_4b,tbq4/tbq4,25,3.8984767817577812,1.5708201681263743e-05,3.1253905383590608,3.44359037175891,5870.7689199999995,4564.90104,10.467932108279202
repeat_core8k,llm,core,x86_axelera_paper,8192,gemma4_e4b,f16/f16,25,12.901765434257687,4.033028148114681e-05,10.372351401224732,12.73487439922057,18655.5156,17287.87464,36.009459200529385
repeat_core8k,llm,core,x86_axelera_paper,8192,gemma4_e4b,q4_0/q4_0,25,14.472899390012026,4.1769230738282206e-05,10.954452744852752,14.45726723337546,21791.86048,18069.03616,39.8851052207686
repeat_core8k,llm,core,x86_axelera_paper,8192,gemma4_e4b,q8_0/q8_0,25,13.02625554974191,4.0962407365441325e-05,10.424818926053122,12.21242640431039,18797.48632,16824.30596,35.66397606337443
repeat_core8k,llm,core,x86_axelera_paper,8192,gemma4_e4b,q8_0/tbq4,25,12.594910778719932,4.877204075455666e-05,10.19496751362458,11.856841688994319,18305.40428,16309.45132,34.64721486051567
repeat_core8k,llm,core,x86_axelera_paper,8192,gemma4_e4b,tbq4/tbq4,25,12.991904822727665,4.141651093959808e-05,10.234441582933067,12.89561449650675,18958.33388,17139.44028,36.122439217716455
repeat_core8k,llm,core,x86_axelera_paper,8192,qwen35_4b,f16/f16,25,14.235279280329124,1.3966038823127747e-05,11.607387466169893,11.79369865246117,20744.31564,16760.07588,37.636821411428976
repeat_core8k,llm,core,x86_axelera_paper,8192,qwen35_4b,q4_0/q4_0,25,11.976264341752977,1.5171663835644723e-05,12.370219086986035,14.451760715395212,21662.433960000002,17016.10024,38.79869364037179
repeat_core8k,llm,core,x86_axelera_paper,8192,qwen35_4b,q8_0/q8_0,25,12.682615192355588,1.3302816078066827e-05,12.203528554299846,14.895190461771563,20902.807,18754.54048,39.78176591689699
repeat_core8k,llm,core,x86_axelera_paper,8192,qwen35_4b,q8_0/tbq4,25,14.25874764893204,1.3045556843280792e-05,11.349482045788317,14.421980434106663,20629.29612,19280.69488,40.03063047671691
repeat_core8k,llm,core,x86_axelera_paper,8192,qwen35_4b,tbq4/tbq4,25,14.256515401070937,1.4475081115961075e-05,10.976230408325792,15.814187163412571,20835.018079999998,20092.60136,41.04736411910504
suite25_8k,fixed,paper,m4_paper_suite25,8192,gemma4_e4b,f16/f16,25,0.0,0.00115096487745177,2.074267669880064,3.1271298784401735,2789.7551200000003,2398.2549599999998,5.20283677835716
suite25_8k,fixed,paper,m4_paper_suite25,8192,gemma4_e4b,q4_0/q4_0,25,0.0,0.0010816280776634812,2.1916957800003,3.6094826065195957,3011.09892,2784.24328,5.802549119999167
suite25_8k,fixed,paper,m4_paper_suite25,8192,gemma4_e4b,q8_0/q8_0,25,0.0,0.0010845700406935067,2.1870763801201245,3.410356513481238,2979.83768,2610.24024,5.598806514959433
