run_kind,planner_mode,task_suite,host_label,ctx_size,model,config,repeats,wall_mean_sec,wall_std_sec,wall_ci95_sec,wall_min_sec,wall_max_sec,vs_q4_wall_pct,speedup_vs_q4_pct,quality_mean,quality_std,quality_ci95,quality_delta_vs_q4,tok_s_mean,rss_max_mean_mb,cpu_max_mean_pct,thermal_max_c_mean,rapl_package_joules_mean,rapl_package_watts_avg_mean,battery_joules_mean,battery_power_w_avg_mean,json_valid_mean,plan_valid_mean,server_failures
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,f16/f16,1,521.6145144316833,0.0,0.0,521.6145144316833,521.6145144316833,-23.229271483443313,30.257979743455987,0.8133333333333332,0.0,0.0,0.026666666666666505,2.0359862899081422,8715.38671875,596.0,86.0,34041.270581,65.022206,0.0,0.0,1.0,1.0,0
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,q4_0/q4_0,1,679.4445285473485,0.0,0.0,679.4445285473485,679.4445285473485,0.0,0.0,0.7866666666666667,0.0,0.0,0.0,1.5998362696716457,7702.8203125,595.0,87.0,44364.07759,65.027751,0.0,0.0,1.0,1.0,0
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,q8_0/q8_0,1,548.8124028539751,0.0,0.0,548.8124028539751,548.8124028539751,-19.22631211302337,23.802691960686474,0.7866666666666667,0.0,0.0,0.0,1.9533086249970042,8055.91796875,597.0,88.0,35845.525239,65.070398,0.0,0.0,1.0,1.0,0
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,q8_0/tbq4,1,518.5913273347542,0.0,0.0,518.5913273347542,518.5913273347542,-23.674221287276865,31.017333444290806,0.7333333333333333,0.0,0.0,-0.053333333333333455,2.061353408075707,7883.93359375,597.0,88.0,33830.556338,64.991521,0.0,0.0,1.0,1.0,0
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,tbq4/tbq4,1,524.0714502930641,0.0,0.0,524.0714502930641,524.0714502930641,-22.86766199831969,29.647308237721926,0.7866666666666667,0.0,0.0,0.0,2.0397981981315874,7693.0234375,598.0,88.0,34276.423422,65.08709,0.0,0.0,1.0,1.0,0
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,f16/f16,1,496.8007647690829,0.0,0.0,496.8007647690829,496.8007647690829,-23.068947004664274,29.98652183541921,0.7,0.0,0.0,-0.07333333333333325,2.540253738511429,6863.1953125,596.0,87.0,32335.216965,64.782378,0.0,0.0,1.0,0.8,0
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,q4_0/q4_0,1,645.7740345750935,0.0,0.0,645.7740345750935,645.7740345750935,0.0,0.0,0.7733333333333332,0.0,0.0,0.0,1.9093366007062973,6312.953125,597.0,86.0,42033.950803,64.889238,0.0,0.0,1.0,0.6,0
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,q8_0/q8_0,1,583.9717003179248,0.0,0.0,583.9717003179248,583.9717003179248,-9.570272409269819,10.583104322268078,0.6933333333333334,0.0,0.0,-0.07999999999999985,2.185037390177165,6554.34765625,598.0,88.0,38003.8031,64.957548,0.0,0.0,1.0,0.8,0
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,q8_0/tbq4,1,490.7032724369783,0.0,0.0,490.7032724369783,490.7032724369783,-24.013161544989757,31.601737923610695,0.7866666666666666,0.0,0.0,0.01333333333333342,2.5697811097478507,6334.23046875,597.0,87.0,33081.510831,67.252376,0.0,0.0,1.0,1.0,0
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,tbq4/tbq4,1,558.3733993247151,0.0,0.0,558.3733993247151,558.3733993247151,-13.534244266709528,15.652721880390242,0.72,0.0,0.0,-0.05333333333333323,2.2368544087352906,6304.59765625,597.0,87.0,36345.255711,64.925198,0.0,0.0,1.0,0.8,0
