tasks,total_wall_sec,mean_wall_sec,mean_score,mean_quality_total,mean_correctness_score,mean_json_score,mean_tool_use_score,mean_safety_score,mean_ground_truth_score,mean_planner_sec,mean_deterministic_tool_sec,mean_llm_tool_sec,mean_final_sec,total_prompt_eval_ms,total_decode_ms,plan_valid_rate,final_json_valid_rate,total_llm_calls,total_prompt_tokens,total_completion_tokens,completion_tokens_per_sec,job_index,host_label,repeat,ctx_size,model,config,type_k,type_v,server_max_rss_mb,server_max_cpu_pct,server_mean_cpu_pct,server_profile_samples,server_returncode,run_kind,task_suite,task_count,planner_mode,context_fill_ratio,raw_dir
5,196.1481385442894,39.229627708857876,0.7333333333333332,0.7333333333333332,0.5333333333333333,1.0,1.0,0.8,0.3333333333333333,14.509903471404687,4.2883586138486864e-05,10.826372756436466,13.892867759987713,108287.22799999999,87729.829,0.4,1.0,15,7079,844,4.302870301312742,21,x86_axelera_paper,4,8192,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,7557.1015625,594.0,566.6446700507614,197,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0021_ctx8192_r04_gemma4_e4b_q4_0_q4_0
5,215.3531417855993,43.07062835711986,0.37333333333333335,0.37333333333333335,0.0,0.0,1.0,0.8,0.06666666666666667,14.238770232582464,1.2703984975814819e-05,10.939499773830175,17.89193894090131,104087.192,110675.56199999999,0.0,0.0,15,6656,885,4.109529086327823,22,x86_axelera_paper,3,8192,qwen35_4b,tbq4/tbq4,tbq4,tbq4,6089.10546875,595.0,576.660465116279,215,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0022_ctx8192_r03_qwen35_4b_tbq4_tbq4
5,177.58092845394276,35.516185690788554,0.8133333333333332,0.8133333333333332,0.7333333333333333,1.0,1.0,1.0,0.3333333333333333,12.923038246994839,4.201317206025124e-05,10.346623082784935,12.24606406460516,93462.484,83898.978,0.8,1.0,15,6771,829,4.668294096767315,23,x86_axelera_paper,3,8192,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,7842.41796875,593.0,562.927374301676,179,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0023_ctx8192_r03_gemma4_e4b_q8_0_q8_0
5,179.47701512672938,35.89540302534588,0.7866666666666665,0.7866666666666665,0.6,1.0,1.0,1.0,0.3333333333333333,12.882082403777167,3.8150604814291e-05,10.177789899753407,12.83507367479615,92339.49799999999,86790.286,0.6,1.0,15,6856,858,4.7805564372360605,24,x86_axelera_paper,3,8192,gemma4_e4b,f16/f16,f16,f16,8287.54296875,593.0,560.3701657458563,181,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0024_ctx8192_r03_gemma4_e4b_f16_f16
5,173.61064659547992,34.722129319095984,0.7466666666666666,0.7466666666666666,0.6,1.0,1.0,0.8,0.3333333333333333,12.656101500988006,4.001567140221596e-05,10.223201686423272,11.842338816588745,92378.91,81067.13,0.8,1.0,15,6862,809,4.659852467948028,25,x86_axelera_paper,4,8192,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,7657.90625,592.0,553.6228571428571,175,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0025_ctx8192_r04_gemma4_e4b_q8_0_tbq4
5,172.88901092624292,34.577802185248586,0.36000000000000004,0.36000000000000004,0.0,0.0,1.0,0.8,0.0,14.185077934572472,1.28947664052248e-05,11.56547537976876,8.826802846230567,104014.747,68218.068,0.0,0.0,15,6650,550,3.1812316876209,26,x86_axelera_paper,2,8192,qwen35_4b,f16/f16,f16,f16,6423.33203125,594.0,568.7873563218391,174,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0026_ctx8192_r02_qwen35_4b_f16_f16
5,179.25493571721017,35.85098714344203,0.36,0.36,0.0,0.0,1.0,0.8,0.0,12.854847947554664,1.2585148215293885e-05,12.037055015238002,10.958663913421333,103841.965,74805.09700000001,0.0,0.0,15,6650,599,3.3416095216757276,27,x86_axelera_paper,5,8192,qwen35_4b,q8_0/q8_0,q8_0,q8_0,6206.6875,594.0,569.3333333333334,180,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0027_ctx8192_r05_qwen35_4b_q8_0_q8_0
5,174.72764632385224,34.94552926477045,0.7999999999999999,0.7999999999999999,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,12.745410634437576,3.937231376767158e-05,10.318339884607122,11.881308833044022,93012.231,81552.468,0.8,1.0,15,6860,815,4.664402097475879,28,x86_axelera_paper,1,8192,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,7658.296875,593.0,563.8011363636364,176,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0028_ctx8192_r01_gemma4_e4b_q8_0_tbq4
5,211.1808866520878,42.23617733041756,0.36,0.36,0.0,0.0,1.0,0.8,0.0,11.769934790348634,1.5154015272855759e-05,12.612339215585962,17.85345208658837,108537.80500000001,102031.02500000001,0.0,0.0,15,6681,807,3.8213685565659206,29,x86_axelera_paper,5,8192,qwen35_4b,q4_0/q4_0,q4_0,q4_0,6090.6015625,596.0,577.5707547169811,212,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0029_ctx8192_r05_qwen35_4b_q4_0_q4_0
5,199.5772737795487,39.91545475590974,0.7333333333333333,0.7333333333333333,0.5333333333333333,1.0,1.0,0.8,0.3333333333333333,14.418437621369957,3.848243504762649e-05,11.01533580343239,14.481214805645868,108761.667,90703.11799999999,0.4,1.0,15,7085,869,4.354203179265239,30,x86_axelera_paper,3,8192,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,7511.9921875,595.0,567.45,200,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0030_ctx8192_r03_gemma4_e4b_q4_0_q4_0
